90560007,Gout,7
128188000,Cerebral palsy (disorder),7
235595009,Gastroesophageal reflux disease (disorder),7
197927001,Recurrent urinary tract infection,6
221360009,Spasticity (finding),6
449868002,Smokes tobacco daily,6
53827007,Excessive salivation (disorder),5
275272006,Brain damage - traumatic,5
62718007,Dribbling from mouth (finding),5
1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),5
30832001,Rupture of patellar tendon,5
370143000,Major depression disorder,5
367498001,Seasonal allergic rhinitis,5
40275004,Contact dermatitis,5
67782005,Acute respiratory distress syndrome (disorder),5
422587007,Nausea (finding),4
398152000,Poor muscle tone (finding),4
431856006,Chronic kidney disease stage 2 (disorder),4
444448004,Injury of medial collateral ligament of knee,4
84114007,Heart failure (disorder),4
90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder),4
249497008,Vomiting symptom (finding),4
234466008,Acquired coagulation disorder (disorder),3
6072007,Bleeding from anus,3
239720000,Tear of meniscus of knee,3
87628006,Bacterial infectious disease (disorder),3
69896004,Rheumatoid arthritis,3
195967001,Asthma,3
236077008,Protracted diarrhea,3
314994000,Metastasis from malignant tumor of prostate (disorder),3
86175003,Injury of heart (disorder),3
97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),3
444470001,Injury of anterior cruciate ligament,2
127295002,Traumatic brain injury (disorder),2
27942005,Shock (disorder),2
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),2
254632001,Small cell carcinoma of lung (disorder),2
45816000,Pyelonephritis,2
235919008,Cholelithiasis,2
110359009,Intellectual disability (disorder),2
288959006,Unable to swallow saliva (finding),2
22253000,Pain (finding),2
84757009,Epilepsy (disorder),2
429280009,History of amputation of foot (situation),2
65275009,Acute Cholecystitis,2
15802004,Dystonia (disorder),1
157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder),1
132281000119108,Acute deep venous thrombosis (disorder),1
15724005,Fracture of vertebral column without spinal cord injury,1
403192003,Third degree burn,1
40095003,Injury of kidney (disorder),1
433144002,Chronic kidney disease stage 3 (disorder),1
68566005,Urinary tract infectious disease (disorder),1
414667000,Meningomyelocele (disorder),1
399912005,Pressure ulcer (disorder),1
373587001,Chiari malformation type II (disorder),1
93761005,Primary malignant neoplasm of colon,1
302297009,Congenital deformity of foot (disorder),1
300916003,Allergy to latex (finding),1
298382003,Scoliosis deformity of spine (disorder),1
287182007,Attempted suicide - suffocation,1
160701002,Social migrant (finding),1
200936003,Lupus erythematosus,1
267064002,Retention of urine (disorder),1
230745008,Hydrocephalus (disorder),1
1734006,Fracture of the vertebral column with spinal cord injury,1
